USERNAME,SOURCE IP,OCCURRENCES
cad,192.5.170.6,1
cad,192.5.170.18,2
cad,121.54.222.114,1
saltmann,62.129.96.66,2
cad,216.91.132.91,2
cad,216.91.132.85,11
cad,2600:215:80:5f00:3574:80ab:6bb4:1be6,1
saltmann,197.12.82.31,1
cad,216.91.132.72,1
cad,98.215.193.197,1
cad,121.54.238.15,1
cad,216.91.132.95,1
usercbs,97.207.31.82,1
testuser,2600:6c40:446e:b002:6082:664c:cc8c:7e1e,1
testuser,97.207.31.82,9
corby,97.207.31.82,5
snaquin,147.126.10.155,3
rsabo,147.126.51.254,3
cbestwick,147.126.10.157,3
mbui3,147.126.10.158,10
ydavid1,104.179.114.109,3
vventola,2601:249:8400:86f0:6413:8d17:1ccf:e04a,3
jbajerek,73.176.25.107,3
adelandaluce,73.120.245.111,5
lford,2601:249:8180:c980:41e8:49a4:1152:417c,3
ddelatorre1,2601:246:c000:2260:996:98fd:a95e:6b4,3
fsyed3,67.163.46.231,12
fsyed3,2600:3c04::f03c:92ff:fe93:4b27,6
rrimocal,24.136.6.187,6
rrimocal,2600:3c04::f03c:92ff:fe93:4b27,1
rrusaiteme,73.75.131.210,3
adhungana1,2400:1a00:b040:46fa:74cb:dbd2:fd65:1288,3
amansoor1,147.126.10.153,3
aszymczak,2601:249:8780:d560:e197:6c22:178f:5ab,1
avilladeleon,24.1.92.195,1
avilladeleon,2601:249:8081:34f0:1552:ef24:401b:e632,2
rsabo,73.246.22.231,2
rsabo,2600:3c04::f03c:92ff:fe93:4b27,2
tsiddiqui5,147.126.81.97,3
aszymczak,2601:249:8780:d560:75f9:ea21:f84b:734f,1
tsiddiqui5,76.29.22.51,1
